,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay
42,"Austin, TX 78712",3/29/2018,21:25:24,Public University,0,1h 28min 54sec,3/29/2018,22:54:19,3/29/2018 21:25,The University of Texas at Austin,3
43,,3/29/2018,21:17:18,Walking,916,0h 8min 5sec,3/29/2018,21:25:24,3/29/2018 21:17,Walking,3
44,"301 E Dean Keeton St, Austin, TX 78712",3/29/2018,16:52:29,School,0,4h 24min 48sec,3/29/2018,21:17:18,3/29/2018 16:52,ECJ,3
45,,3/29/2018,16:37:51,Walking,945,0h 14min 38sec,3/29/2018,16:52:29,3/29/2018 16:37,Walking,3
46,"2222 Guadalupe St B, Austin, TX 78705",3/29/2018,15:57:35,Cafe,0,0h 40min 16sec,3/29/2018,16:37:51,3/29/2018 15:57,Caffe Medici,3
47,,3/29/2018,15:55:31,Walking,766,0h 2min 3sec,3/29/2018,15:57:35,3/29/2018 15:55,Walking,3
48,"Austin, TX 78712",3/29/2018,15:34:41,Public University,0,0h 20min 49sec,3/29/2018,15:55:31,3/29/2018 15:34,The University of Texas at Austin,3
49,,3/29/2018,15:24:56,Walking,1846,0h 9min 44sec,3/29/2018,15:34:41,3/29/2018 15:24,Walking,3
50,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/29/2018,12:58:37,Apartment Building,0,2h 26min 18sec,3/29/2018,15:24:56,3/29/2018 12:58,Home,3
51,,3/29/2018,12:53:30,Driving,3518,0h 5min 7sec,3/29/2018,12:58:37,3/29/2018 12:53,Driving,3
52,"Austin, TX 78712",3/29/2018,9:07:12,Public University,0,3h 46min 17sec,3/29/2018,12:53:30,3/29/2018 9:07,The University of Texas at Austin,3
53,,3/29/2018,8:59:06,On a bus,3234,0h 8min 6sec,3/29/2018,9:07:12,3/29/2018 8:59,On a bus,3
54,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/28/2018,23:30:37,Apartment Building,0,9h 28min 28sec,3/29/2018,8:59:06,3/28/2018 23:30,Home,2
55,,3/28/2018,23:24:30,Driving,1937,0h 6min 7sec,3/28/2018,23:30:37,3/28/2018 23:24,Driving,2
56,"2823 E Mlk St, Austin, TX 78702",3/28/2018,18:08:24,Apartment Rental Agency,0,5h 16min 5sec,3/28/2018,23:24:30,3/28/2018 18:08,Platform Apartments,2
57,,3/28/2018,17:52:59,Driving,5625,0h 15min 25sec,3/28/2018,18:08:24,3/28/2018 17:52,Driving,2
58,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/28/2018,11:12:50,Apartment Building,0,6h 40min 8sec,3/28/2018,17:52:59,3/28/2018 11:12,Home,2
59,,3/28/2018,11:05:47,Driving,1082,0h 7min 3sec,3/28/2018,11:12:50,3/28/2018 11:05,Driving,2
60,"301 E Dean Keeton St, Austin, TX 78712",3/28/2018,10:07:31,School,0,0h 58min 16sec,3/28/2018,11:05:47,3/28/2018 10:07,ECJ,2
61,,3/28/2018,10:03:05,Walking,474,0h 4min 25sec,3/28/2018,10:07:31,3/28/2018 10:03,Walking,2
62,"Austin, TX 78712",3/28/2018,8:51:02,Public University,0,1h 12min 3sec,3/28/2018,10:03:05,3/28/2018 8:51,The University of Texas at Austin,2
63,,3/28/2018,8:38:46,Walking,1478,0h 12min 16sec,3/28/2018,8:51:02,3/28/2018 8:38,Walking,2
64,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/27/2018,19:10:47,Apartment Building,0,13h 27min 59sec,3/28/2018,8:38:46,3/27/2018 19:10,Home,1
65,,3/27/2018,19:05:36,Driving,924,0h 5min 10sec,3/27/2018,19:10:47,3/27/2018 19:05,Driving,1
66,"301 E Dean Keeton St, Austin, TX 78712",3/27/2018,9:52:47,School,0,9h 12min 49sec,3/27/2018,19:05:36,3/27/2018 9:52,ECJ,1
67,,3/27/2018,9:46:03,Walking,460,0h 6min 44sec,3/27/2018,9:52:47,3/27/2018 9:46,Walking,1
68,"2807 San Jacinto Blvd, Austin, TX 78712",3/27/2018,9:02:26,Taco Restaurant,0,0h 43min 37sec,3/27/2018,9:46:03,3/27/2018 9:02,Taco Joint,1
69,,3/27/2018,8:57:24,Driving,1050,0h 5min 1sec,3/27/2018,9:02:26,3/27/2018 8:57,Driving,1
70,,3/27/2018,8:50:02,Walking,592,0h 7min 21sec,3/27/2018,8:57:24,3/27/2018 8:50,Walking,1
71,"Austin, TX 78712",3/27/2018,7:36:01,Public University,0,1h 14min 1sec,3/27/2018,8:50:02,3/27/2018 7:36,The University of Texas at Austin,1
72,,3/27/2018,7:29:58,Walking,593,0h 6min 2sec,3/27/2018,7:36:01,3/27/2018 7:29,Walking,1
73,,3/27/2018,7:23:39,On a bus,2008,0h 6min 19sec,3/27/2018,7:29:58,3/27/2018 7:23,On a bus,1
74,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/26/2018,19:39:36,Apartment Building,0,11h 44min 2sec,3/27/2018,7:23:39,3/26/2018 19:39,Home,0
75,,3/26/2018,19:37:34,Driving,912,0h 2min 1sec,3/26/2018,19:39:36,3/26/2018 19:37,Driving,0
76,"301 E Dean Keeton St, Austin, TX 78712",3/26/2018,17:26:24,School,0,2h 11min 10sec,3/26/2018,19:37:34,3/26/2018 17:26,ECJ,0
77,,3/26/2018,17:20:06,Driving,915,0h 6min 17sec,3/26/2018,17:26:24,3/26/2018 17:20,Driving,0
78,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/26/2018,17:13:49,Apartment Building,0,0h 6min 16sec,3/26/2018,17:20:06,3/26/2018 17:13,Home,0
79,,3/26/2018,17:07:45,Driving,1741,0h 6min 4sec,3/26/2018,17:13:49,3/26/2018 17:07,Driving,0
80,"1190 Chicon St, Austin, TX 78702",3/26/2018,15:22:39,Community Center,0,1h 45min 6sec,3/26/2018,17:07:45,3/26/2018 15:22,Mission Possible Austin,0
81,,3/26/2018,15:14:18,Driving,1763,0h 8min 20sec,3/26/2018,15:22:39,3/26/2018 15:14,Driving,0
82,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/26/2018,14:14:02,Apartment Building,0,1h 0min 15sec,3/26/2018,15:14:18,3/26/2018 14:14,Home,0
83,,3/26/2018,14:11:43,Driving,1334,0h 2min 19sec,3/26/2018,14:14:02,3/26/2018 14:11,Driving,0
84,"Austin, TX 78712",3/26/2018,8:54:56,Public University,0,5h 16min 47sec,3/26/2018,14:11:43,3/26/2018 8:54,The University of Texas at Austin,0
85,,3/26/2018,8:46:32,Cycling,1213,0h 8min 24sec,3/26/2018,8:54:56,3/26/2018 8:46,Cycling,0
86,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/26/2018,0:55:32,Apartment Building,0,7h 50min 59sec,3/26/2018,8:46:32,3/26/2018 0:55,Home,0
87,,3/26/2018,0:50:07,Driving,1194,0h 5min 25sec,3/26/2018,0:55:32,3/26/2018 0:50,Driving,0
88,,3/26/2018,0:43:55,Walking,665,0h 6min 11sec,3/26/2018,0:50:07,3/26/2018 0:43,Walking,0
89,"2101 Speedway, Austin, TX 78712",3/25/2018,22:45:25,Recreation Center,0,1h 58min 30sec,3/26/2018,0:43:55,3/25/2018 22:45,Gregory Gymnasium,6
90,,3/25/2018,22:41:23,Walking,1058,0h 4min 2sec,3/25/2018,22:45:25,3/25/2018 22:41,Walking,6
91,"Austin, TX 78712",3/25/2018,19:24:20,Public University,0,3h 17min 3sec,3/25/2018,22:41:23,3/25/2018 19:24,The University of Texas at Austin,6
92,,3/25/2018,18:50:00,Driving,4075,0h 34min 19sec,3/25/2018,19:24:20,3/25/2018 18:50,Driving,6
93,"510 W 26th St, Austin, TX 78705",3/25/2018,17:38:34,Thai,0,1h 11min 26sec,3/25/2018,18:50:00,3/25/2018 17:38,Madam Mam's,6
94,,3/25/2018,17:34:40,Walking,152,0h 3min 53sec,3/25/2018,17:38:34,3/25/2018 17:34,Walking,6
95,,3/25/2018,13:09:35,Driving,362527,4h 25min 5sec,3/25/2018,17:34:40,3/25/2018 13:09,Driving,6
96,"Plano, TX 75025",3/25/2018,12:23:12,,0,0h 46min 23sec,3/25/2018,13:09:35,3/25/2018 12:23,2217 Stanmore Ln,6
97,,3/25/2018,12:10:47,Driving,7724,0h 12min 24sec,3/25/2018,12:23:12,3/25/2018 12:10,Driving,6
98,"Plano, TX 75074",3/24/2018,21:26:29,,0,14h 44min 18sec,3/25/2018,12:10:47,3/24/2018 21:26,2428 Bigleaf Ct,5
99,,3/24/2018,20:56:52,Driving,18451,0h 29min 36sec,3/24/2018,21:26:29,3/24/2018 20:56,Driving,5
100,"2601 Preston Rd, Frisco, TX 75034",3/24/2018,19:04:48,Shopping Mall,0,1h 52min 4sec,3/24/2018,20:56:52,3/24/2018 19:04,Stonebriar Centre,5
101,,3/24/2018,18:37:45,Driving,17749,0h 27min 2sec,3/24/2018,19:04:48,3/24/2018 18:37,Driving,5
102,"Plano, TX 75074",3/24/2018,14:26:40,,0,4h 11min 4sec,3/24/2018,18:37:45,3/24/2018 14:26,2428 Bigleaf Ct,5
103,,3/24/2018,14:14:04,Driving,6216,0h 12min 35sec,3/24/2018,14:26:40,3/24/2018 14:14,Driving,5
104,"1621 Custer Rd, Plano, TX 75075",3/24/2018,14:03:26,Garden Center,0,0h 10min 38sec,3/24/2018,14:14:04,3/24/2018 14:03,Calloway's Nursery,5
105,,3/24/2018,13:49:23,Driving,6192,0h 14min 2sec,3/24/2018,14:03:26,3/24/2018 13:49,Driving,5
106,"Plano, TX 75074",3/24/2018,13:26:36,,0,0h 22min 46sec,3/24/2018,13:49:23,3/24/2018 13:26,2428 Bigleaf Ct,5
107,,3/24/2018,13:09:22,Driving,14884,0h 17min 14sec,3/24/2018,13:26:36,3/24/2018 13:09,Driving,5
108,"1000 E Belt Line Rd, Richardson, TX 75081",3/24/2018,12:55:14,Plant Nursery,0,0h 14min 8sec,3/24/2018,13:09:22,3/24/2018 12:55,Bruce Miller Nursery,5
109,,3/24/2018,12:35:18,Driving,13868,0h 19min 56sec,3/24/2018,12:55:14,3/24/2018 12:35,Driving,5
110,"Plano, TX 75074",3/24/2018,11:52:23,,0,0h 42min 54sec,3/24/2018,12:35:18,3/24/2018 11:52,2428 Bigleaf Ct,5
111,,3/24/2018,11:35:17,Driving,3172,0h 17min 6sec,3/24/2018,11:52:23,3/24/2018 11:35,Driving,5
112,"6001 N Central Expy, Plano, TX 75023",3/24/2018,11:25:16,Department Store,0,0h 10min 1sec,3/24/2018,11:35:17,3/24/2018 11:25,Walmart Supercenter,5
113,,3/24/2018,11:02:21,Driving,20233,0h 22min 55sec,3/24/2018,11:25:16,3/24/2018 11:02,Driving,5
114,"12817 Preston Rd, Dallas, TX 75230",3/24/2018,9:15:30,Canadian,0,1h 46min 51sec,3/24/2018,11:02:21,3/24/2018 9:15,Maple Leaf Diner,5
115,,3/24/2018,8:46:02,Driving,18585,0h 29min 27sec,3/24/2018,9:15:30,3/24/2018 8:46,Driving,5
116,"Plano, TX 75074",3/24/2018,0:31:43,,0,8h 14min 18sec,3/24/2018,8:46:02,3/24/2018 0:31,2428 Bigleaf Ct,5
117,,3/24/2018,0:29:21,Walking,150,0h 2min 22sec,3/24/2018,0:31:43,3/24/2018 0:29,Walking,5
118,,3/24/2018,0:15:26,Driving,7769,0h 13min 54sec,3/24/2018,0:29:21,3/24/2018 0:15,Driving,5
119,"Plano, TX 75025",3/23/2018,21:46:01,,0,2h 29min 25sec,3/24/2018,0:15:26,3/23/2018 21:46,2217 Stanmore Ln,4
120,,3/23/2018,21:06:28,Driving,27642,0h 39min 32sec,3/23/2018,21:46:01,3/23/2018 21:06,Driving,4
121,"Dallas, TX 75231",3/23/2018,20:51:32,,0,0h 14min 56sec,3/23/2018,21:06:28,3/23/2018 20:51,Vickery Meadow,4
122,,3/23/2018,20:09:10,Driving,117891,0h 42min 21sec,3/23/2018,20:51:32,3/23/2018 20:09,Driving,4
123,"Abbott, TX 76621",3/23/2018,19:50:04,,0,0h 19min 6sec,3/23/2018,20:09:10,3/23/2018 19:50,10241 N Interstate 35 Frontage Rd,4
124,,3/23/2018,18:41:50,Driving,114555,1h 8min 14sec,3/23/2018,19:50:04,3/23/2018 18:41,Driving,4
125,"1110 N Robertson Rd, Salado, TX 76571",3/23/2018,18:01:14,Fast Food,0,0h 40min 36sec,3/23/2018,18:41:50,3/23/2018 18:01,Sonic Drive-In,4
126,,3/23/2018,17:05:46,Driving,70080,0h 55min 27sec,3/23/2018,18:01:14,3/23/2018 17:05,Driving,4
127,"11900 Hobby Horse Ct, Austin, TX 78758",3/23/2018,16:59:19,Apartment Building,0,0h 6min 26sec,3/23/2018,17:05:46,3/23/2018 16:59,Radius at the Domain,4
128,,3/23/2018,16:24:30,Driving,13647,0h 34min 49sec,3/23/2018,16:59:19,3/23/2018 16:24,Driving,4
129,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/23/2018,12:39:38,Apartment Building,0,3h 44min 51sec,3/23/2018,16:24:30,3/23/2018 12:39,Home,4
130,,3/23/2018,12:23:37,Walking,1408,0h 16min 1sec,3/23/2018,12:39:38,3/23/2018 12:23,Walking,4
131,"2101 Speedway, Austin, TX 78712",3/23/2018,10:02:19,Recreation Center,0,2h 21min 17sec,3/23/2018,12:23:37,3/23/2018 10:02,Gregory Gymnasium,4
132,,3/23/2018,9:52:12,Walking,614,0h 10min 7sec,3/23/2018,10:02:19,3/23/2018 9:52,Walking,4
133,"Austin, TX 78712",3/23/2018,8:46:58,Public University,0,1h 5min 14sec,3/23/2018,9:52:12,3/23/2018 8:46,The University of Texas at Austin,4
134,,3/23/2018,8:37:03,On a bus,1365,0h 9min 54sec,3/23/2018,8:46:58,3/23/2018 8:37,On a bus,4
135,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/22/2018,21:28:54,Apartment Building,0,11h 8min 9sec,3/23/2018,8:37:03,3/22/2018 21:28,Home,3
136,,3/22/2018,21:26:20,Driving,889,0h 2min 34sec,3/22/2018,21:28:54,3/22/2018 21:26,Driving,3
137,"301 E Dean Keeton St, Austin, TX 78712",3/22/2018,18:35:40,School,0,2h 50min 40sec,3/22/2018,21:26:20,3/22/2018 18:35,ECJ,3
138,,3/22/2018,18:25:05,Driving,3654,0h 10min 34sec,3/22/2018,18:35:40,3/22/2018 18:25,Driving,3
139,"4905 Airport Blvd, Austin, TX 78751",3/22/2018,17:28:35,Taco Restaurant,0,0h 56min 30sec,3/22/2018,18:25:05,3/22/2018 17:28,Tyson's Tacos,3
140,,3/22/2018,17:12:01,Driving,4754,0h 16min 34sec,3/22/2018,17:28:35,3/22/2018 17:12,Driving,3
141,"Austin, TX",3/22/2018,17:01:41,,0,0h 10min 19sec,3/22/2018,17:12:01,3/22/2018 17:01,University of Texas at Austin,3
142,,3/22/2018,16:57:15,On a bus,1018,0h 4min 26sec,3/22/2018,17:01:41,3/22/2018 16:57,On a bus,3
143,,3/22/2018,16:52:29,Driving,520,0h 4min 46sec,3/22/2018,16:57:15,3/22/2018 16:52,Driving,3
144,"2200 Pearl St, Austin, TX 78705",3/22/2018,16:23:10,Apartment Complex,0,0h 29min 19sec,3/22/2018,16:52:29,3/22/2018 16:23,The Block on Pearl South,3
145,,3/22/2018,16:16:31,Walking,479,0h 6min 38sec,3/22/2018,16:23:10,3/22/2018 16:16,Walking,3
146,"2246 Guadalupe St, Austin, TX 78705",3/22/2018,16:06:29,Clothing Store,0,0h 10min 2sec,3/22/2018,16:16:31,3/22/2018 16:06,University Co-op,3
147,,3/22/2018,16:05:02,Walking,170,0h 1min 26sec,3/22/2018,16:06:29,3/22/2018 16:05,Walking,3
148,"2304 Whitis Ave, Austin, TX 78712",3/22/2018,15:31:02,Student Career Counseling Office,0,0h 34min 0sec,3/22/2018,16:05:02,3/22/2018 15:31,Flawn Academic Center,3
149,,3/22/2018,15:20:22,Walking,623,0h 10min 39sec,3/22/2018,15:31:02,3/22/2018 15:20,Walking,3
150,"301 E Dean Keeton St, Austin, TX 78712",3/22/2018,13:56:46,School,0,1h 23min 36sec,3/22/2018,15:20:22,3/22/2018 13:56,ECJ,3
151,,3/22/2018,13:52:57,Driving,910,0h 3min 48sec,3/22/2018,13:56:46,3/22/2018 13:52,Driving,3
152,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/22/2018,11:59:35,Apartment Building,0,1h 53min 22sec,3/22/2018,13:52:57,3/22/2018 11:59,Home,3
153,,3/22/2018,11:51:17,Driving,807,0h 8min 18sec,3/22/2018,11:59:35,3/22/2018 11:51,Driving,3
154,"Austin, TX 78712",3/22/2018,8:59:28,Public University,0,2h 51min 48sec,3/22/2018,11:51:17,3/22/2018 8:59,The University of Texas at Austin,3
155,,3/22/2018,8:49:27,Driving,2084,0h 10min 0sec,3/22/2018,8:59:28,3/22/2018 8:49,Driving,3
156,"2101 Speedway, Austin, TX 78712",3/22/2018,7:44:30,Recreation Center,0,1h 4min 57sec,3/22/2018,8:49:27,3/22/2018 7:44,Gregory Gymnasium,3
157,,3/22/2018,7:34:22,Driving,1567,0h 10min 7sec,3/22/2018,7:44:30,3/22/2018 7:34,Driving,3
158,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/21/2018,15:51:50,Apartment Building,0,15h 42min 32sec,3/22/2018,7:34:22,3/21/2018 15:51,Home,2
159,,3/21/2018,15:47:53,Driving,1323,0h 3min 56sec,3/21/2018,15:51:50,3/21/2018 15:47,Driving,2
160,"Austin, TX 78712",3/21/2018,8:44:50,Public University,0,7h 3min 3sec,3/21/2018,15:47:53,3/21/2018 8:44,The University of Texas at Austin,2
161,,3/21/2018,8:33:02,On a bus,2000,0h 11min 48sec,3/21/2018,8:44:50,3/21/2018 8:33,On a bus,2
162,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/20/2018,22:22:38,Apartment Building,0,10h 10min 23sec,3/21/2018,8:33:02,3/20/2018 22:22,Home,1
163,,3/20/2018,22:04:12,Driving,11240,0h 18min 26sec,3/20/2018,22:22:38,3/20/2018 22:04,Driving,1
164,"3737 Executive Center Dr Ste. 210, Austin, TX 78731",3/20/2018,21:57:55,Public Relations Firm,0,0h 6min 16sec,3/20/2018,22:04:12,3/20/2018 21:57,Ketner Group PR + Marketing,1
165,,3/20/2018,21:51:30,Driving,2276,0h 6min 24sec,3/20/2018,21:57:55,3/20/2018 21:51,Driving,1
166,"2525 W Anderson Ln, Austin, TX 78757",3/20/2018,18:23:32,Shopping Mall,0,3h 27min 58sec,3/20/2018,21:51:30,3/20/2018 18:23,Northcross Mall,1
167,,3/20/2018,18:19:19,Driving,874,0h 4min 12sec,3/20/2018,18:23:32,3/20/2018 18:19,Driving,1
168,"7849 Shoal Creek Blvd, Austin, TX 78757",3/20/2018,17:36:57,Restaurant,0,0h 42min 22sec,3/20/2018,18:19:19,3/20/2018 17:36,Cabo Bob's,1
169,,3/20/2018,17:32:47,Driving,818,0h 4min 10sec,3/20/2018,17:36:57,3/20/2018 17:32,Driving,1
170,"2525 W Anderson Ln, Austin, TX 78757",3/20/2018,17:21:37,Shopping Mall,0,0h 11min 10sec,3/20/2018,17:32:47,3/20/2018 17:21,Northcross Mall,1
171,,3/20/2018,17:00:14,Driving,10073,0h 21min 23sec,3/20/2018,17:21:37,3/20/2018 17:00,Driving,1
172,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/20/2018,15:49:17,Apartment Building,0,1h 10min 56sec,3/20/2018,17:00:14,3/20/2018 15:49,Home,1
173,,3/20/2018,15:46:47,Driving,890,0h 2min 29sec,3/20/2018,15:49:17,3/20/2018 15:46,Driving,1
174,"301 E Dean Keeton St, Austin, TX 78712",3/20/2018,13:36:11,School,0,2h 10min 36sec,3/20/2018,15:46:47,3/20/2018 13:36,ECJ,1
175,,3/20/2018,13:34:55,Walking,474,0h 1min 15sec,3/20/2018,13:36:11,3/20/2018 13:34,Walking,1
176,"Austin, TX 78712",3/20/2018,12:24:10,Public University,0,1h 10min 45sec,3/20/2018,13:34:55,3/20/2018 12:24,The University of Texas at Austin,1
177,,3/20/2018,12:19:30,On a bus,1938,0h 4min 40sec,3/20/2018,12:24:10,3/20/2018 12:19,On a bus,1
178,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/20/2018,9:14:58,Apartment Building,0,3h 4min 31sec,3/20/2018,12:19:30,3/20/2018 9:14,Home,1
179,,3/20/2018,9:09:52,Driving,358,0h 5min 6sec,3/20/2018,9:14:58,3/20/2018 9:09,Driving,1
180,,3/20/2018,9:06:45,On a bus,1302,0h 3min 7sec,3/20/2018,9:09:52,3/20/2018 9:06,On a bus,1
181,,3/20/2018,8:59:17,Walking,602,0h 7min 28sec,3/20/2018,9:06:45,3/20/2018 8:59,Walking,1
182,"Austin, TX 78712",3/20/2018,7:30:20,Public University,0,1h 28min 57sec,3/20/2018,8:59:17,3/20/2018 7:30,The University of Texas at Austin,1
183,,3/20/2018,7:20:22,On a bus,1483,0h 9min 57sec,3/20/2018,7:30:20,3/20/2018 7:20,On a bus,1
184,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/19/2018,18:09:05,Apartment Building,0,13h 11min 17sec,3/20/2018,7:20:22,3/19/2018 18:09,Home,0
185,,3/19/2018,17:53:28,Driving,4917,0h 15min 37sec,3/19/2018,18:09:05,3/19/2018 17:53,Driving,0
186,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/19/2018,17:21:03,Apartment Building,0,0h 32min 24sec,3/19/2018,17:53:28,3/19/2018 17:21,Home,0
187,,3/19/2018,17:12:50,Driving,2042,0h 8min 13sec,3/19/2018,17:21:03,3/19/2018 17:12,Driving,0
